Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
aws-sam-translator,2731893,6.50,10,4,0,10,10,,0,10,10,,9,10,,9,10
pyjwt,89277753,6.47,10,6,0,8,10,10,10,10,10,,7,0,,0,10
libcst,20489659,6.47,10,3,0,9,10,10,0,10,10,10,,10,,0,10
sentry-sdk,15287207,6.47,10,8,0,6,10,10,,10,10,,7,10,0,0,10
tensorboard,13116048,6.47,10,6,0,10,10,10,0,10,10,,4,10,,0,10
tensorboard-data-server,6642179,6.47,10,6,0,10,10,10,0,10,10,,4,10,,0,10
knack,5390900,6.47,10,8,0,10,10,0,0,10,4,,10,10,,10,10
tb-nightly,714421,6.47,10,6,0,10,10,10,0,10,10,,4,10,,0,10
python-telegram-bot,529465,6.47,10,3,2,9,10,10,0,10,10,,7,0,8,0,10
dvc,447551,6.47,10,8,0,6,10,10,0,10,10,10,7,0,0,0,10
libhoney,169613,6.47,10,8,0,10,10,10,0,10,6,,7,10,0,0,10
aws-embedded-metrics,136556,6.47,10,10,0,6,10,0,0,10,8,,7,10,,10,10
platformdirs,36318417,6.45,10,0,0,7,10,10,0,10,10,10,7,10,,0,10
ansible,4672048,6.45,10,3,2,10,10,0,10,10,10,,7,0,,10,10
tox,4539681,6.45,10,0,0,7,10,10,0,10,10,10,7,10,,0,10
ansible-core,2091787,6.45,10,3,2,10,10,0,10,10,10,,7,0,,10,10
arviz,614316,6.45,10,6,0,9,10,,0,10,10,,5,10,0,10,10
ansible-base,545061,6.45,10,3,2,10,10,0,10,10,10,,7,0,,10,10
azure-core,46715459,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
aiohttp,40909090,6.42,10,3,0,5,10,10,10,10,10,,5,10,0,0,10
azure-storage-blob,37575253,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-common,31119375,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
azure-identity,18484441,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
fonttools,11550655,6.42,10,3,0,7,10,10,0,10,10,,7,0,,10,10
azure-nspkg,9418773,6.42,10,8,0,10,10,10,0,10,10,,0,10,,0,10
